parameter,parameter_label,parameter_key,parameter_value,manuscript_environment,internal_environment,requested_epochs,episode_count,valid_count,seed_min,seed_max,path_length_mean,path_length_std,path_length_min,path_length_max,path_length_median,maximum_curvature_mean,maximum_curvature_std,maximum_curvature_min,maximum_curvature_max,maximum_curvature_median,minimum_clearance_mean,minimum_clearance_std,minimum_clearance_min,minimum_clearance_max,minimum_clearance_median,smoothness_mean,smoothness_std,smoothness_min,smoothness_max,smoothness_median,wheel_effort_mean,wheel_effort_std,wheel_effort_min,wheel_effort_max,wheel_effort_median,centering_mean,centering_std,centering_min,centering_max,centering_median,computation_time_seconds_mean,computation_time_seconds_std,computation_time_seconds_min,computation_time_seconds_max,computation_time_seconds_median,collision_count_sum,collision_count_mean,collision_rate
tau,Softmin Temperature,softmin_temperature,0.3,Level-2,Moderate-I,30,30,30,20870704,20870733,22.281404676570165,0.4167964979633247,21.49826850758533,23.335219950445943,22.254211436229127,59.061328410867645,67.34410468476543,7.3822235296527765,244.94381556033537,23.915083555839708,0.27245245654394595,0.02774272739240485,0.223606797749979,0.30000000000000004,0.28284271247461906,196.10363127444805,25.2327051365114,148.6888192539386,245.36494308013863,197.7407874356921,46.76753543619105,17.389939165757767,26.287891631185843,87.62382419842366,44.24496140069276,1448.3094483771893,37.0288755400281,1363.097270831594,1550.4562966879448,1452.1877563713265,134.47345820267995,1.660538434479786,131.34797143936157,138.79464864730835,134.61308574676514,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.5,Level-2,Moderate-I,30,30,30,20870704,20870733,22.187720056960654,0.39152396809670487,21.433207050478863,23.206967989781965,22.175498910919554,64.4088895543754,95.5989666721658,8.052754953709966,449.1238480371434,32.618717831012084,0.2713086373755872,0.026925018453763386,0.223606797749979,0.30000000000000004,0.28284271247461906,194.9792936521725,25.191789745588906,150.2092829766499,245.48367440131733,196.09073575310924,49.563335006781195,28.483332874989074,26.463473499143795,154.85130971640586,42.35955606411974,1461.1615347841969,37.964596395682186,1384.3446522733932,1564.248964902508,1459.233618111255,134.24493334293365,1.6290802566798994,130.47202038764954,138.05455422401428,134.07926642894745,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.8,Level-2,Moderate-I,30,30,30,20870704,20870733,22.09996279955035,0.3454655256359414,21.326769794314952,22.92988037077387,22.090270806950638,122.42669055700418,402.007129046042,7.6410310876690914,2206.0413816575074,22.61446684288004,0.26850339556230324,0.030098614112834852,0.223606797749979,0.30000000000000004,0.28284271247461906,192.8319056745116,22.693774056265394,151.5244358773371,236.6807819931536,196.0962988586354,53.52613623097535,28.61098056605285,26.707317492881074,142.1689356747147,47.70153996125909,1469.7099478992438,33.51898393224735,1397.584337621067,1549.5248064420884,1466.3280695208955,133.73195236523947,1.6095734867163713,130.13123226165771,137.34127712249756,133.9094194173813,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,1.0,Level-2,Moderate-I,30,30,30,20870704,20870733,22.07120502264887,0.3557781262731626,21.318027539153263,23.063402667491033,22.08985480956064,77.3629224008598,150.21969632292135,7.325449807685289,804.2647442744742,17.69441538419538,0.26933410688476583,0.02815088279111131,0.223606797749979,0.30000000000000004,0.28284271247461906,192.42868962853066,22.946218113750287,151.7606780077192,246.8069627864245,189.3139663247523,53.67731964012414,27.868437202531922,26.869256391201205,128.51593095039348,41.233983146720206,1471.7321982728022,33.52939824109576,1422.461408063751,1546.9927754605696,1474.0036232392608,133.4374226172765,1.3382463260208175,130.1502456665039,137.47586727142334,133.467418551445,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.05,Level-3,Moderate-III,30,30,30,20890704,20890733,15.898662012957661,1.9439741325548348,14.173775686651048,21.897254089493742,15.307123018639544,199.96421678715947,905.177966850326,5.686132717823519,5072.588139645094,23.784478895252377,0.21573786516665272,0.011128351180739645,0.2,0.223606797749979,0.223606797749979,250.3652960121415,71.02377516521565,171.76752503153773,472.4467710221991,216.47198054684156,246.3085738909316,78.05412336408506,141.88566402284434,454.1739114606639,228.3432553026122,1560.5970265686085,73.72454632663468,1460.0533284330359,1770.9583180750606,1550.7645382567136,104.87375849088033,0.9633653454575903,102.99616765975952,106.77265763282776,104.77448165416718,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.1,Level-3,Moderate-III,30,30,30,20890704,20890733,15.44151304422061,1.2455917711272217,14.15640269051849,19.04059296306685,14.905833654703795,94.89746862904471,330.7688684269334,4.961037750804492,1864.6446371025581,28.553229034437358,0.21652475842498534,0.01081799376047919,0.2,0.223606797749979,0.223606797749979,232.28303499678654,46.7668771536412,172.3501627048414,360.48593727859924,221.7153711522414,230.42863736149994,67.72916721720807,118.34639893121013,426.0065921329134,217.49143766565908,1556.0819328234952,55.912199138729655,1461.9176742639627,1723.1969577819182,1552.804825155314,104.46938095887502,1.3260994063907314,101.16817545890808,106.39745330810547,104.76705813407898,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.2,Level-3,Moderate-III,30,30,30,20890704,20890733,15.57970199725748,1.587353257271499,14.188681446306475,21.148398263548817,14.93918228194904,1863.5185773531596,9678.745426263129,4.111364372556255,53981.21949609102,26.462742842618297,0.21573786516665272,0.011128351180739645,0.2,0.223606797749979,0.223606797749979,234.78383700879706,53.592667548554715,172.0720275565963,392.7765872722938,223.1650055075325,228.96284471878894,58.20723827532992,151.11040937469406,435.821735079161,211.08262127328163,1567.48389437247,63.631835359852545,1458.6452152445609,1748.0543588533696,1561.429524691635,104.62985325654348,1.004645254813686,102.98419237136841,106.6382052898407,104.34754025936127,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.3,Level-3,Moderate-III,30,30,30,20890704,20890733,15.46692493930053,1.140131554505111,14.191135131395303,19.134161093821227,15.036897167267245,63.57955416386091,149.056091363445,4.884892740628641,855.2010310889973,30.700569258441202,0.21573786516665272,0.011128351180739645,0.2,0.223606797749979,0.223606797749979,234.2111434898474,45.812857997545514,172.9662293395828,358.1132332311536,220.42538750497027,215.3356041142423,51.14716559223824,120.6356323994228,365.7822621432359,208.03384677906922,1575.4151432015474,54.256894414462614,1465.5432309131068,1729.0109927419178,1576.682803242798,104.83797296682994,1.0616953523157662,102.31644487380981,106.80051517486572,104.63404846191406,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.5,Level-3,Moderate-III,30,30,30,20890704,20890733,15.282641890420198,1.122752985337762,14.148757182177173,19.132599200219467,14.851388029195261,63.092449626714476,116.70945308434352,3.700505393074469,645.0712053328593,29.267288530712875,0.21652475842498534,0.01081799376047919,0.2,0.223606797749979,0.223606797749979,225.5325716743643,40.87355815987584,173.36872462490254,342.5743613881351,213.32026820227765,217.52644935687937,55.34426651946235,124.23440419400586,409.41623326074716,203.95194685932574,1574.4374916816282,53.04151296083854,1477.9322515917788,1720.4047462123856,1579.6610880977655,104.39265882174173,1.0235348087059972,102.64401268959045,106.72644138336182,104.37732422351837,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.8,Level-3,Moderate-III,30,30,30,20890704,20890733,15.301475864240153,1.1182612766859694,14.141113061630012,18.995088748338322,14.867241950387651,4240734.415244615,22836810.367000952,5.443317564895291,127220721.91047104,23.840445595206646,0.21652475842498534,0.01081799376047919,0.2,0.223606797749979,0.223606797749979,226.47770394764655,49.86506051861173,173.7834333969877,418.775935954751,211.87527726572654,227.37542005896591,86.56609657125964,122.43021361797796,627.6111575182248,210.06900078454248,1587.8390793283024,53.94937040590506,1507.6034889813036,1746.8807476254387,1579.386495253535,104.68537021478018,0.9477803030640788,102.91420149803162,106.82587718963623,104.72403013706207,0,0.0,0.0
